# Tier 4 (Hard) - Instance 90
# Generated with config: N=33, K=2, topology=grid, calendar=heavy_start

# HEADER: <num_tasks> <num_types> <num_units>
35 2 8

# RESOURCE TYPES
# Format: <type_id> <num_units> <unit_id1> <unit_id2> ...
0 3 0 1 2
1 5 3 4 5 6 7

# RESOURCE UNITS (Calendars)
# Format: <unit_id> <num_steps> <t1> <v1> <t2> <v2> ...
0 14 0 100 2 0 6 100 19 0 22 100 34 0 40 100 103 0 106 100 185 0 190 100 307 0 312 100 315 0
1 14 0 100 1 0 6 100 62 0 68 100 73 0 79 100 133 0 138 100 174 0 180 100 220 0 224 100 315 0
2 14 0 100 1 0 5 100 10 0 14 100 31 0 41 100 116 0 122 100 141 0 146 100 160 0 166 100 315 0
3 16 0 100 8 0 14 100 49 0 54 100 111 0 116 100 155 0 161 100 168 0 171 100 191 0 195 100 305 0 310 100 315 0
4 14 0 100 35 0 40 100 44 0 49 100 117 0 120 100 202 0 205 100 228 0 231 100 251 0 255 100 315 0
5 16 0 100 11 0 15 100 36 0 42 100 73 0 76 100 147 0 153 100 238 0 243 100 257 0 262 100 302 0 307 100 315 0
6 16 0 100 6 0 9 100 15 0 19 100 26 0 31 100 34 0 38 100 219 0 222 100 281 0 287 100 310 0 313 100 315 0
7 18 0 100 1 0 4 100 5 0 10 100 33 0 37 100 110 0 113 100 139 0 142 100 161 0 165 100 171 0 175 100 305 0 309 100 315 0

# TASKS
# Format: <task_id> <size> <num_reqs>
# Then for each requirement: <type_id> <qty>
0 0 2
 0 0
 1 0
1 11 2
 0 1
 1 0
2 12 2
 0 2
 1 0
3 9 2
 0 2
 1 1
4 11 2
 0 3
 1 0
5 5 2
 0 2
 1 0
6 4 2
 0 1
 1 3
7 8 2
 0 0
 1 2
8 7 2
 0 1
 1 0
9 4 2
 0 1
 1 2
10 5 2
 0 3
 1 0
11 11 2
 0 2
 1 3
12 7 2
 0 1
 1 0
13 3 2
 0 2
 1 0
14 10 2
 0 1
 1 1
15 3 2
 0 1
 1 2
16 10 2
 0 0
 1 1
17 12 2
 0 2
 1 1
18 7 2
 0 2
 1 1
19 11 2
 0 3
 1 3
20 9 2
 0 0
 1 2
21 11 2
 0 2
 1 3
22 9 2
 0 3
 1 3
23 4 2
 0 3
 1 2
24 8 2
 0 3
 1 2
25 14 2
 0 2
 1 2
26 9 2
 0 1
 1 0
27 10 2
 0 1
 1 0
28 8 2
 0 1
 1 0
29 3 2
 0 1
 1 0
30 13 2
 0 3
 1 3
31 15 2
 0 2
 1 3
32 15 2
 0 1
 1 1
33 14 2
 0 0
 1 2
34 0 2
 0 0
 1 0

# PRECEDENCES
63
6 12
15 21
24 30
32 34
3 4
26 27
16 17
21 22
20 26
22 23
31 32
0 2
8 9
0 5
17 18
27 28
25 26
2 8
11 17
13 14
32 33
7 13
16 22
25 31
26 32
4 5
3 9
5 6
12 18
14 15
21 27
22 28
23 24
0 1
9 10
8 14
1 2
0 4
10 11
17 23
31 34
19 20
28 29
27 33
13 19
15 16
33 34
18 24
20 21
29 30
4 10
5 11
0 3
14 20
23 29
0 6
2 3
9 15
1 7
10 16
11 12
19 25
7 8
