8 4

# Task definitions: 2 requirements [Programmers] [Managers]
# Task 0: Start (dummy)
0 0 2  3 0 0 1 2  1 0 3

# Task 1: Quick Setup - needs 1 programmer, size=9
1 9 2  3 1 0 1 2  1 0 3

# Task 2: LONG DEVELOPMENT - needs 1 programmer, size=45
2 45 2  3 1 0 1 2  1 0 3

# Task 3: Weekend Task - needs 1 programmer, size=18
3 18 2  3 1 0 1 2  1 0 3

# Task 4: Integration - needs 2 programmers, size=27
4 27 2  3 2 0 1 2  1 0 3

# Task 5: Code Review - needs 1 programmer, 1 manager, size=18
5 18 2  3 1 0 1 2  1 1 3

# Task 6: Final Polish - needs 1 programmer, size=9
6 9 2  3 1 0 1 2  1 0 3

# Task 7: End (dummy)
7 0 2  3 0 0 1 2  1 0 3

# PROGRAMMER R0 - Standard Shift (Mon-Fri 09-18): 5 WEEKS
# Perfectly overlaps with R1
0 52 0 0 9 100 18 0 33 100 42 0 57 100 66 0 81 100 90 0 105 100 114 0 177 100 186 0 201 100 210 0 225 100 234 0 249 100 258 0 273 100 282 0 345 100 354 0 369 100 378 0 393 100 402 0 417 100 426 0 441 100 450 0 513 100 522 0 537 100 546 0 561 100 570 0 585 100 594 0 609 100 618 0 681 100 690 0 705 100 714 0 729 100 738 0 753 100 762 0 777 100 786 0 840 0

# PROGRAMMER R1 - Standard Shift (Mon-Fri 09-18): 5 WEEKS
# Perfectly overlaps with R0
1 52 0 0 9 100 18 0 33 100 42 0 57 100 66 0 81 100 90 0 105 100 114 0 177 100 186 0 201 100 210 0 225 100 234 0 249 100 258 0 273 100 282 0 345 100 354 0 369 100 378 0 393 100 402 0 417 100 426 0 441 100 450 0 513 100 522 0 537 100 546 0 561 100 570 0 585 100 594 0 609 100 618 0 681 100 690 0 705 100 714 0 729 100 738 0 753 100 762 0 777 100 786 0 840 0

# PROGRAMMER R2 - Weekend Shift (Sat-Sun 09-18): 5 WEEKENDS
# Unchanged
2 22 0 0 105 100 114 0 129 100 138 0 273 100 282 0 297 100 306 0 441 100 450 0 465 100 474 0 609 100 618 0 633 100 642 0 777 100 786 0 801 100 810 0 840 0

# MANAGER R3 - Standard Shift (Mon-Fri 09-17): 5 WEEKS
# Overlaps with R0 and R1
3 52 0 0 9 100 17 0 33 100 41 0 57 100 65 0 81 100 89 0 105 100 113 0 177 100 185 0 201 100 209 0 225 100 233 0 249 100 257 0 273 100 281 0 345 100 353 0 369 100 377 0 393 100 401 0 417 100 425 0 441 100 449 0 513 100 521 0 537 100 545 0 561 100 569 0 585 100 593 0 609 100 617 0 681 100 689 0 705 100 713 0 729 100 737 0 753 100 761 0 777 100 785 0 840 0

# Precedences
8 0 1 1 2 0 3 2 4 3 4 4 5 5 6 6 7
