# Special (Mode Explosion) - Instance 61
# Generated with config: N=15, K=2, topology=random_dag, calendar=staggered

# HEADER: <num_tasks> <num_types> <num_units>
17 2 13

# RESOURCE TYPES
# Format: <type_id> <num_units> <unit_id1> <unit_id2> ...
0 6 0 1 2 3 4 5
1 7 6 7 8 9 10 11 12

# RESOURCE UNITS (Calendars)
# Format: <unit_id> <num_steps> <t1> <v1> <t2> <v2> ...
0 8 0 100 43 0 50 100 86 0 92 100 129 0 138 100 175 0
1 8 0 100 55 0 62 100 98 0 104 100 141 0 147 100 175 0
2 8 0 100 67 0 73 100 110 0 116 100 153 0 159 100 175 0
3 8 0 100 79 0 87 100 122 0 130 100 165 0 171 100 175 0
4 8 0 100 2 0 9 100 91 0 99 100 134 0 143 100 175 0
5 8 0 100 14 0 22 100 103 0 113 100 146 0 156 100 175 0
6 8 0 100 26 0 34 100 115 0 120 100 158 0 168 100 175 0
7 6 0 100 38 0 44 100 127 0 135 100 175 0
8 8 0 100 7 0 16 100 50 0 58 100 139 0 146 100 175 0
9 8 0 100 19 0 27 100 62 0 68 100 151 0 159 100 175 0
10 8 0 100 31 0 36 100 74 0 80 100 163 0 173 100 175 0
11 7 0 0 7 100 43 0 48 100 86 0 96 100 175 0
12 8 0 100 12 0 19 100 55 0 60 100 98 0 106 100 175 0

# TASKS
# Format: <task_id> <size> <num_reqs>
# Then for each requirement: <type_id> <qty>
0 0 2
 0 0
 1 0
1 8 2
 0 3
 1 4
2 4 2
 0 4
 1 2
3 10 2
 0 3
 1 3
4 5 2
 0 2
 1 3
5 4 2
 0 2
 1 4
6 3 2
 0 0
 1 4
7 7 2
 0 4
 1 1
8 9 2
 0 1
 1 0
9 9 2
 0 4
 1 1
10 9 2
 0 1
 1 4
11 10 2
 0 2
 1 2
12 6 2
 0 1
 1 2
13 8 2
 0 1
 1 1
14 5 2
 0 1
 1 1
15 3 2
 0 0
 1 1
16 0 2
 0 0
 1 0

# PRECEDENCES
51
12 16
3 7
4 12
3 10
3 16
14 16
0 2
5 16
0 5
9 11
0 8
0 14
11 14
1 9
0 11
1 12
1 15
7 10
7 16
4 5
5 9
8 11
0 1
0 7
9 16
1 2
0 4
0 10
11 16
1 5
1 11
0 13
2 16
13 16
15 16
6 16
3 11
4 16
5 11
0 3
0 9
8 16
0 6
0 12
10 16
0 15
2 6
1 16
2 15
7 11
7 8
